99
162
0	9
1	9
2	9
3	10
4	10
5	10
6	11
7	11
8	11
9	12
10	12
11	12
9	13
10	13
11	13
9	14
10	14
11	14
12	15
12	16
12	17
13	18
13	19
13	20
14	21
14	22
14	23
0	24
1	24
2	24
3	25
4	25
5	25
6	26
7	26
8	26
24	27
25	27
26	27
24	28
25	28
26	28
24	29
25	29
26	29
27	30
27	31
27	32
28	33
28	34
28	35
29	36
29	37
29	38
0	39
1	39
2	39
3	40
4	40
5	40
6	41
7	41
8	41
39	42
40	42
41	42
39	43
40	43
41	43
39	44
40	44
41	44
42	45
42	46
42	47
43	48
43	49
43	50
44	51
44	52
44	53
0	54
1	54
2	54
3	55
4	55
5	55
6	56
7	56
8	56
54	57
55	57
56	57
54	58
55	58
56	58
54	59
55	59
56	59
57	60
57	61
57	62
58	63
58	64
58	65
59	66
59	67
59	68
0	69
1	69
2	69
3	70
4	70
5	70
6	71
7	71
8	71
69	72
70	72
71	72
69	73
70	73
71	73
69	74
70	74
71	74
72	75
72	76
72	77
73	78
73	79
73	80
74	81
74	82
74	83
0	84
1	84
2	84
3	85
4	85
5	85
6	86
7	86
8	86
84	87
85	87
86	87
84	88
85	88
86	88
84	89
85	89
86	89
87	90
87	91
87	92
88	93
88	94
88	95
89	96
89	97
89	98
